도로종류,시간대,사고수,월,유형
시도,20시-22시,796,02,부상자수
시도,22시-24시,563,02,부상자수
군도,00시-02시,10,02,부상자수
군도,02시-04시,8,02,부상자수
군도,04시-06시,3,02,부상자수
군도,06시-08시,27,02,부상자수
군도,08시-10시,65,02,부상자수
군도,10시-12시,68,02,부상자수
군도,12시-14시,77,02,부상자수
군도,14시-16시,89,02,부상자수
군도,16시-18시,73,02,부상자수
군도,18시-20시,67,02,부상자수
군도,20시-22시,29,02,부상자수
군도,22시-24시,20,02,부상자수
고속국도,00시-02시,22,02,부상자수
고속국도,02시-04시,10,02,부상자수
고속국도,04시-06시,10,02,부상자수
고속국도,06시-08시,36,02,부상자수
고속국도,08시-10시,55,02,부상자수
고속국도,10시-12시,89,02,부상자수
고속국도,12시-14시,97,02,부상자수
고속국도,14시-16시,117,02,부상자수
고속국도,16시-18시,116,02,부상자수
고속국도,18시-20시,76,02,부상자수
고속국도,20시-22시,48,02,부상자수
고속국도,22시-24시,68,02,부상자수
일반국도,00시-02시,43,03,사고건수
일반국도,02시-04시,23,03,사고건수
일반국도,04시-06시,33,03,사고건수
일반국도,06시-08시,93,03,사고건수
일반국도,08시-10시,154,03,사고건수
일반국도,10시-12시,141,03,사고건수
일반국도,12시-14시,163,03,사고건수
일반국도,14시-16시,178,03,사고건수
일반국도,16시-18시,201,03,사고건수
일반국도,18시-20시,200,03,사고건수
일반국도,20시-22시,143,03,사고건수
일반국도,22시-24시,126,03,사고건수
지방도,00시-02시,24,03,사고건수
지방도,02시-04시,11,03,사고건수
지방도,04시-06시,22,03,사고건수
지방도,06시-08시,62,03,사고건수
지방도,08시-10시,119,03,사고건수
지방도,10시-12시,139,03,사고건수
지방도,12시-14시,135,03,사고건수
지방도,14시-16시,151,03,사고건수
지방도,16시-18시,149,03,사고건수
지방도,18시-20시,158,03,사고건수
지방도,20시-22시,102,03,사고건수
지방도,22시-24시,70,03,사고건수
특별광역시도,00시-02시,225,03,사고건수
특별광역시도,02시-04시,113,03,사고건수
특별광역시도,04시-06시,159,03,사고건수
특별광역시도,06시-08시,343,03,사고건수
특별광역시도,08시-10시,609,03,사고건수
특별광역시도,10시-12시,647,03,사고건수
특별광역시도,12시-14시,743,03,사고건수
특별광역시도,14시-16시,816,03,사고건수
특별광역시도,16시-18시,866,03,사고건수
특별광역시도,18시-20시,988,03,사고건수
